index,country code,country,année,quantile,nb_quantiles,log_income,income,gdpppp,gini,population,cluster
6812,MEX,Mexico,2008,14,100,2.960056625656601,912.1297599999999,13434.0,49.9,23040000,3
6813,MEX,Mexico,2008,15,100,2.9819866543172955,959.37115,13434.0,49.9,23040000,3
6814,MEX,Mexico,2008,16,100,3.0006658013468877,1001.5342400000001,13434.0,49.9,23040000,3
6815,MEX,Mexico,2008,17,100,3.019243443229882,1045.306,13434.0,49.9,23040000,3
6816,MEX,Mexico,2008,18,100,3.0346340306369166,1083.0139,13434.0,49.9,23040000,3
6817,MEX,Mexico,2008,19,100,3.0507542945557757,1123.9689,13434.0,49.9,23040000,3
6818,MEX,Mexico,2008,20,100,3.0662060584560944,1164.6785,13434.0,49.9,23040000,3
6819,MEX,Mexico,2008,21,100,3.079812757535329,1201.7462,13434.0,49.9,23040000,3
6820,MEX,Mexico,2008,22,100,3.0961924176664817,1247.9363,13434.0,49.9,23040000,3
6821,MEX,Mexico,2008,23,100,3.107224050061018,1280.0415,13434.0,49.9,23040000,3
6822,MEX,Mexico,2008,24,100,3.119304299194117,1316.1467,13434.0,49.9,23040000,3
6823,MEX,Mexico,2008,25,100,3.132727521078814,1357.4615,13434.0,49.9,23040000,3
6824,MEX,Mexico,2008,26,100,3.1463398576781003,1400.683,13434.0,49.9,23040000,3
6825,MEX,Mexico,2008,27,100,3.1595984709342413,1444.104,13434.0,49.9,23040000,3
6826,MEX,Mexico,2008,28,100,3.1718312273524987,1485.3583,13434.0,49.9,23040000,3
6827,MEX,Mexico,2008,29,100,3.1826246723396006,1522.7362,13434.0,49.9,23040000,3
6828,MEX,Mexico,2008,30,100,3.194928874401992,1566.4945,13434.0,49.9,23040000,3
6829,MEX,Mexico,2008,31,100,3.2023767865976533,1593.5907,13434.0,49.9,23040000,3
6830,MEX,Mexico,2008,32,100,3.2077036658893716,1613.2574,13434.0,49.9,23040000,3
6831,MEX,Mexico,2008,33,100,3.217614160393162,1650.4948,13434.0,49.9,23040000,3
6832,MEX,Mexico,2008,34,100,3.229119300956987,1694.8033,13434.0,49.9,23040000,3
6833,MEX,Mexico,2008,35,100,3.241463373982218,1743.6663,13434.0,49.9,23040000,3
6834,MEX,Mexico,2008,36,100,3.253347238832726,1792.0381,13434.0,49.9,23040000,3
6835,MEX,Mexico,2008,37,100,3.2635814410837103,1834.7692,13434.0,49.9,23040000,3
6836,MEX,Mexico,2008,38,100,3.2749215818250867,1883.309,13434.0,49.9,23040000,3
6837,MEX,Mexico,2008,39,100,3.282105092230353,1914.7192,13434.0,49.9,23040000,3
